ingilizce;Türkçe
"gasoline 
reusing 
garbage
trash
recycle
ethical
upcycle
conscience
sustainable
collect rainwater
subway
carpooling
Grey/ gray water
quick shower
bulbs
solar panels
faucet
dishwasher
durable";"benzin
yeniden kullanma
çöp
çöp
geri dönüþüm
etik
ileri dönüþüm
vicdan
sürdürülebilir
yaðmur suyu toplamak
metro
araba paylaþýmý
gri/gri su
hýzlý duþ
ampuller
Solar paneller
musluk
bulaþýk makinesi
dayanýklý"
"avenue
pharmacy
grocery
bacon";"Bulvar
eczane
bakkal
domuz pastýrmasý"
"conflict
low-conflict
Idiom
thick-skinned
empathetic
disagree
sensitive
upset
hospitable
empath";"anlaþmazlýk
düþük çatýþma
Deyim
kalýn derili
empatik
ayný fikirde olmamak
hassas
üzgün
misafirperver
empati"
"lecture
reasons";"ders
sebepler"
l prefer younger animal;genç hayvaný tercih ederim
"lung 
revealed 
cervix
decades
multiply 
heard 
experiment
treated";"akciðer
açýklýða kavuþmuþ
serviks, rahim aðzý
onlarca yýl
çarpmak
duyulmuþ
deney
iþlem görmüþ"
"proud way
 custom contest 
hedgehogs";"gururlu yol
  özel yarýþma
kirpi"
hedgehog;kirpi
l prefe younger animal;genç hayvaný tercih ederim
hatched;yumurtadan
giant;devasa
tortoise;tosbaða
what advice;ne tavsiyesi
emphasize;vurgu
sigorta;insurance
"due
owe";"vadesi dolmuþ
sahip olmak"
"assertive 
profit 
To go up to
wire
Assertiveness";"iddialý
kâr
kadar gitmek
tel
atýlganlýk"
offend;gücendirmek
criticiz;eleþtirmek
misunderstanding;yanlýþ anlama
"sneaking up
surface 
soil
cooler 
lick 
Blind at birth
breeds
consider";"sinsice yaklaþmak
yüzey
toprak
soðutucu
yalamak
doðuþtan kör
ýrklar
dikkate almak"
"prove
 claim
 torch
 elaborately
 As you might expect
champagne";"kanýtlamak
  iddia
  meþale
  özenle
  Beklediðiniz gibi
Þampanya"
"virtually 
stain
puff
impotence
victim
famine 
appeal 
devotion
convey 
quit the habit.
regulations 
bold 
unavoidable
poison
harms";"sanal olarak
lekelemek
puf
iktidarsýzlýk
kurban
kýtlýk
baþvurmak
özveri
iletmek
alýþkanlýðý býrak.
düzenlemeler
gözü pek
kaçýnýlmaz
zehir
zararlar"
"virtually 
stain
puff
impotence
victim
famine 
appeal 
devotion
convey 
quit the habit.
regulations 
bold 
unavoidable
poison
harms";"sanal olarak
lekelemek
puf
iktidarsýzlýk
kurban
kýtlýk
çekici
özveri
iletmek
alýþkanlýðý býrak.
düzenlemeler
gözü pek
kaçýnýlmaz
zehir
zararlar"
"Tipper
depend on
wait staff
service charge";"Damperli
baðlýdýr
Personel bekleyin
servis bedeli"
"virtually 
stain
puff
impotence
victim
famine 
appeal 
devotion
convey 
quit the habit.
regulations 
bold 
unavoidabl
poison
harms";"sanal olarak
lekelemek
puf
iktidarsýzlýk
kurban
kýtlýk
çekici
özveri
iletmek
alýþkanlýðý býrak.
düzenlemeler
gözü pek
kaçýnýlmaz
zehir
zararlar"
"enroll
hometown 
Tips 
Networking 
impression
genuine
impress
curious";"kaydolmak
memleket
Ýpuçlarý
að oluþturma
izlenim
eþsiz
etkilemek
meraklý"
"Procrastination
struggle 
tendency 
anxiety
pollution";"Erteleme
çabalamak
eðilim
endiþe
kirlilik"
"synonymous 
graduate 
For almost a century";"eþanlamlý
mezun olmak
Neredeyse bir asýrdýr"
pregnant;pregnant
"controversy
ancient
sculpture
arguments 
worth 
Egypt";"tartýþma
antik
heykel
argümanlar
deðer
Mýsýr"
"coincidence
invention
keep someone posted
clap
audience
congratulate
auction
vase 
distillery
established 
rare
lacquer
malt";"tesadüf
buluþ
birini haberdar etmek
alkýþ
kitle
tebrik etmek
açýk arttýrma
vazo
içki fabrikasý
kurulmuþ
nadir
cila
arpa"
"striker
 championship
rookie 
remarkable 
impressive 
resume
recent 
competitions 
teammates 
guard
clapped";"forvet
  þampiyonluk
çaylak
dikkat çekici
etkileyici
sürdürmek
son
yarýþmalar
takým arkadaþlarý
koruma
alkýþladý"
"appetite
fill up
initiative
spread
waste
substances
dessert";"iþtah
doldur
giriþim
yaymak
atýk
maddeler
tatlý"
"unscripted
proposal 
confidence
exceptional
wave";"yazýlmamýþ
teklif
kendinden emin
istisnai
dalga"
"appointments
insurance
examination
prescription
worse 
even
perhaps 
quite
quite so bad
discomfort";"randevular
sigorta
sýnav
reçete
daha kötüsü
eþit
belki
epeyce
oldukça çok kötü
rahatsýzlýk"
"deceive
refuse
forcefully
explanation";"aldatmak
reddetmek
zorla
açýklama"
mug;saldýrýp soymak
"Interpretation
indicate
crumbled
concerns";"Tercüme
belirtmek
ufalanmýþ
endiþeler"
counter desk;sayaç masasý
wide range;geniþ aralýk
global scale;küresel ölçek
presenting;sunum
"brunet
striped
vest 
sleeves
occupation
tiny 
curtains
paw
tongue";"esmer
çizgili
yelek
kollu
Meslek
çok küçük
perdeler
Pati
dil"
"dark 
ring
necklace
popcorn
pupils
wedding anniversary";"karanlýk
yüzük
kolye
patlamýþ mýsýr
öðrenciler
evlilik yýldönümü"
"engage
conflicting
frustrating
somewhat
space
moderate 
The total is up four percentage
The total is up";"Tut
çeliþkili
sinir bozucu
biraz
Uzay
ýlýman
Toplam yüzde dört arttý
toplam arttý"
raking;yan yatan
yearn;burnunda tütmek
grade;seviye
demand;talep etmek
blase;býkkýnlýk
appetite;iþtah
endurance;dayanýklýlýk
strain;Gerginlik
remarked;dikkat çekti
complacenty;kendini beðenmiþlik
undergo;uðramak
exigencies;zorunluluklar
connubial exigencies;evlilik gereklilikleri
sartorial;terzilik
scorn;aþaðýlamak
magnificent;muhteþem
particularly;özellikle
his will;Onun iradesi
persuade;ikna etmek
reginald;Yeniden doðmak
"strawberry
smelting
lick it";"çilek
eritme
yala onu"
kept;tutulmuþ
solo;solo
"crispy
juicy
dry
skewer
coal
pan-fried
ghee 
butter
dumpling ";"gevrek
sulu
kuru
þiþ
kömür
tavada kýzartýlmýþ
Ghee
Tereyaðý
hamur tatlýsý"
"blouse
barefoot
brunet
bright red
freshly washed";"bluz
yalýnayak
esmer
parlak kýrmýzý
yeni yýkanmýþ"
"launching pad
bloom 
leather
shaving 
lanes 
fence
got stuck";"fýrlatma rampasý
Çiçek açmak
deri
týraþ olmak
þerit
çit
takýlmak"
"Recreation
heartbeat
vitals
wind";"Yeniden yaratma
kalp atýþý
hayati
rüzgâr"
"launching pad
bloom 
leather
shaving 
lanes 
fence
got stuck";"fýrlatma rampasý
Çiçek açmak
deri
týraþ olmak
þeritler
çit
sýkýþmýþ"
"via 
gravity
curved 
due to
orbit ";"aracýlýðýyla
Yerçekimi
kavisli
Nedeniyle
yörünge"
"appreciate
scientific 
experiment
rate 
underestimate";"takdir etmek
ilmi
Deney
oran
Azýmsamak"
"mystery
exactly
anxiety 
fascinating 
disorders
crisis
at least once";"gizem
kesinlikle
endiþe
büyüleyici
bozukluklar
kriz
en azýndan bir kere"
"stretch
net
spill
insects";"uzatmak
að
dökülmek
haþarat"
"detect
severe
detecting ";"tespit etmek
þiddetli
tespit"
"sit down
sit up
stand up";"oturmak
otur
ayaða kalk"
"bread
batter
pastry
persecution
to harm
Jews 
fashion";"ekmek
meyilli
hamur iþi
zulüm
zarar vermek
Yahudiler
moda"
"Kingdom
veterinarian
blonde
Allisband
snack
occupations 
tail 
breed ";"krallýk
Veteriner hekim
sarýþýn
Allisband
abur cubur
meslekler
kuyruk
doðurmak"
"Bedside 
Track
 take-off
measures 
react
nervousness
creepy
duration
artificial intelligence";"baþucu
Izlemek
  çýkarmak
miktar
tepki
sinirlilik
ürpertici
süre
yapay zeka"
opportunity;fýrsat
"captivity
mindset
affirmative
bang
fist ";"tutsaklýk
zihniyet
olumlu
patlama
yumruk"
"decades
 operate internationally
Wages 
don't keep up
interest
volatility
monetary
ban 
weakest 
sense 
urgency
encouraging 
purchasing 
recover ";"onlarca yýl
  uluslararasý faaliyet göstermek
Ücretler
takip etme
faiz
oynaklýk
parasal
yasaklamak
en zayýf
algý
aciliyet
teþvik edici
Satýn alma
iyileþmek"
" Self-Driving 
vending machine
remotely
rudder
convenience store
convenient 
grap
";"Kendi Kendine Sürüþ
otomat
uzaktan
dümen
market
uygun
kapmak"
"grab
influence
Prequel
diverse
cast
praise
critics";"yakalamak
etkilemek
Öncesi niteliðinde
türlü
oyuncu kadrosu
övmek
eleþtirmenler"
"prequel
Diversity
cast
remake";"öncesi niteliðinde
Çeþitlilik
oyuncu kadrosu
yeniden yapmak"
competition;yarýþma
"crap 
envelope
spit on
swear
steadman
figure
biodiverse
cruise
untouched";"saçmalýk
mektup
e tükürmek
yemin etmek
bakýcý
figür
biyolojik çeþitlilik
seyir
el deðmemiþ"
"lockdown 
heat
 execution
faith
innocent
stalker
stick 
evidently
explosion
custody
meddling
affairs
invested
god sake
investment";"karantina
sýcaklýk
  uygulamak
inanç
masum
Takipçi
sopa
besbelli
patlama
velayet
karýþma
iþler
yatýrým
Allah aþkýna
yatýrým"
"landscape
fortress
districts
supervises 
regulator
expected 
stricter 
involving
agreement 
operate
interviews
oil
complicated
Adjective
represent
calligraphy
oasis
huge 
donut
lung ";"manzara
kale
ilçeler
denetler
regülatör
beklenen
daha katý
içeren
anlaþma
iþletmek
röportajlar
sývý yað
karmaþýk
Sýfat
temsil etmek
kaligrafi
vaha
Kocaman
tatlý çörek
akciðer"
"conjugal 
scared
disappear
appreciate
hesitate
exact
corpse";"evlilik
korkmuþ
kaybolmak
takdir etmek
tereddüt etmek
bire bir ayný
ceset"
"sorrow
 resistance 
destiny
scattered
beset
infirmary";"üzüntü
  direnç
Kader
daðýnýk
kuþatmak
revir"
commute;iþe gidip gelmek
commutes;iþe gidip gelir
stable;kararlý
appearance;dýþ görünüþ
substance;madde
smoother;daha pürüzsüz
glide;kayma
"
Artifacts 
persuade 
pressure 
ivory
institutions 
era
decision 
acquired 
sculptures
racism 
tusks 
trafficking 
survival
seize
shipment 
evidence 
caught
";"eserler
ikna etmek
baský yapmak
fildiþi
kurumlar
çað
karar
Edinilen
heykeller
ýrkçýlýk
diþleri
insan ticareti
hayatta kalma
kapmak
gönderi
kanýt
yakalanmýþ"
"
Artifacts 
persuade 
pressure 
ivory
institutions 
era
decision 
acquired 
sculptures
racism 
tusks 
trafficking 
survival
seize
shipment 
evidence 
acquired ";"eserler
ikna etmek
baský yapmak
fildiþi
kurumlar
çað
karar
Edinilen
heykeller
ýrkçýlýk
diþleri
insan ticareti
hayatta kalma
kapmak
gönderi
kanýt
Edinilen"
"Cyprus
ruins
ancient
eye-catching
archaeological
tomb
sculpture
southern ";"Kýbrýs
kalýntýlar
Antik
göz alýcý
arkeolojik
mezar
heykel
güney"
"summons 
officer
arouse
satisfy 
out of curiosity
thread
harvest
delicate
demand
dye";"celp
subay
uyandýrmak
tatmin etmek
Meraktan
iplik
hasat
narin
talep etmek
boya"
"welfare
invasion 
taxes
gasoline";"refah
istila
vergiler
benzin"
"satellite
press conference
grant
bravery
unannounced
";"uydu
basýn toplantýsý
hibe
cesaret
habersiz"
"curiosity
varnish
dingy
turkey-cock
prevailing
frame
chiefly
sunsets
raging
conflagrations
cuffs
engraving
sheepskin
hooked
festooned
publications
bark
bear witness
talent
purchasers
lackey
wrapped
cloak
gaze
bachelor
daughters 
achievement
graduated
reginald
persuaded
occasonlly
prospective";"merak
vernik
pis
hindi-horoz
hakim
çerçeve
baþlýca
gün batýmlarý
öfkeli
yangýnlar
manþet
oymak
koyun derisi
baðlanmýþ
festoonlu
yayýnlar
baðýrmak
þahitlik etmek
yetenek
alýcýlar
uþak
sarýlmýþ
pelerin
bakýþ
Lisans
kýz çocuklarý
baþarý
mezun
muhteþem
ikna
ara sýra
muhtemel"
"curiosity
varnish
dingy
turkey-cock
prevailing
frame
chiefly
sunsets
raging
conflagrations
cuffs
engraving
sheepskin
hooked
festooned
publications
bark
bear witness
talent
purchasers
lackey
wrapped
cloak
gaze
bachelor
daughters 
achievement
graduated";"merak
vernik
pis
hindi-horoz
hakim
çerçeve
baþlýca
gün batýmlarý
öfkeli
yangýnlar
manþet
oymak
koyun derisi
baðlanmýþ
festoonlu
yayýnlar
baðýrmak
þahitlik etmek
yetenek
alýcýlar
uþak
sarýlmýþ
pelerin
bakýþ
Lisans
kýz çocuklarý
baþarý
mezun"
"curiosity
";merak
sustainability;Sürdürülebilirlik
enrolled;kayýtlý
couch;kanepe
sleeve;elbise kolu
towels;Havlu
wipe;silip süpürmek
condemned;mahkum
censured;sansürlenmiþ
mingle;karýþmak
minglr;karýþma
southeast;güneydoðu
schoolmaster;okul müdürü
humble;mütevazý
tax;vergi
proud;gurur duymak
youth;gençlik
summon;çaðýrmak
agony;ýzdýrap
overwhelmed;ezilmiþ
parting;ayrýlýk
glimpse;bir bakýþ
lane;Þerit
bidding;teklif vermek
tender;sunmak
ldleness;tembellik
"adverbs 
conjunction
among
dusk
former
ranking
invest
endowments ";"zarflar
baðlaç
arasýnda
alacakaranlýk
önceki
sýralama
yatýrým
baðýþlar"
"drugs
steaks
wealth
limp
attempts
pretending
swears
consciousness
faint
clowns
coach
splendid
fin
shark
belly
bray
dive
crawl";"ilaçlar
biftek
varlýk
topallamak
denemeler
rol yapmak
yemin eder
bilinç
baygýn
palyaçolar
koç
görkemli
yüzgeç
köpek balýðý
karýn
anmak
dalmak
sürünmek"
"consistently
rank
manuscript
exhibition
decades 
relieved ";"sürekli
rütbe
el yazmasý
sergi
onlarca yýl
rahatlamak"
"deer
widowed
engaged
divorce
fiance
cucumber
peach
pear
pineapple
cabbage
eraser
plural
concrete
lamb
dimension
cylinder
cage
pose
bees
nightmare
obvious
outset
tough
cease
vowels";"geyik
dul
niþanlý
boþanmak
niþanlý
salatalýk
þeftali
armut
Ananas
lahana
silgi
çoðul
Somut
Kuzu
boyut
silindir
kafes
poz
arýlar
kabus
bariz
baþlangýç
zorlu
dur
sesli harfler"
rattle;çýngýrak
recollect;hatýrlamak
robber;soyguncu
signifies;anlamýna gelir
tory;muhafazakar
obtain;elde etmek
revolutionary;devrimci
captive;tutsak
uncapable;yeteneksiz
eager;istekli
purse;el çantasý
yelling;baðýrmak
throat;boðaz
poison;zehir
trucks;kamyonlar
yawning;esneme
gowning;önlük
"genres
labor of love
conductor
prevents 
mesh
thrill
boundary
composers
annual 
genre ";"türler
aþk emeði
kondüktör
engeller
að
heyecan
sýnýr
besteciler
yýllýk
Tür"
genres;türler
pierce;delmek
overseer;gözetmen
winter has chilled my viens;kýþ damarlarýmý soðuttu
branch;dal
silly;þapþal
bucles;bukleler
ecstary;coþku
petal;taç yapraðý
burst;patlamak
eastern;doðu
delicate;Narin
ebbing;geri çekilme
"overseer
dust
foundry
workman
shabby
leaden
praise
destiny
wise
desire
clasped
dawn
stringed
harp
violin
lizard
beneath
veins
nipped
buds
moonlight
stain
breast
flow
thorn
thron
pierce
pearl";"gözetmen
toz
dökümhane
iþçi
yýpranmýþ
kurþun
övgü
alýn yazýsý
Bilge
arzu
sýktý
Þafak
telli
arp
keman
kertenkele
altýnda
damarlar
kýstýrýlmýþ
tomurcuklar
Ay ýþýðý
lekelemek
meme
akýþ
diken
taht
delmek
inci"
"overseer
dust
foundry
workman
shabby
leaden
praise
destiny
wise
desire
clasped
dawn
stringed
harp
violin
lizard";"gözetmen
toz
dökümhane
iþçi
yýpranmýþ
kurþun
övgü
alýn yazýsý
Bilge
arzu
sýktý
Þafak
telli
arp
keman
kertenkele"
praise;övgü
leaden heart;kurþun kalp
wise;Bilge
"frost
glistening 
icicles
dagger
eaves
furs
crumb
skate
crumbs 
pick up
bakery
flapping
murmurs
crack
leaden
snap
pygmies
marvellous
archway
leaf";"don
parlayan
buz sarkýtlarý
hançer
saçak
kürkler
kýrýntý
paten
kýrýntýlar
toplamak
fýrýn
çýrpma
üfürümler
çatýrtý
kurþun
patlatmak
pigmeler
harika
kemer
Yaprak"
"hauling
mind
chest
lazily
chill 
doves
nest
cooing
mud
matches
beat
spoiled
gutter
bare
pluck ";"çekme
akýl
göðüs
tembelce
sakin olmak
güvercinler
yuva
soðutma
çamur
maçlar
vurmak
bozuk
oluk
çýplak
yolmak"
"accommodation
worn
needle
coarse
fastened
pedestal
agility
mark
lantern
mast
steeple
noon
couches
bulrushes
granite
beryls
ruby
roar
garret
remark
embroidering
satin
gown
";"konaklama
yýpranmýþ
iðne
kaba
sabitlenmiþ
kaide
çeviklik
iþaret
Fener
direk
çan kulesi
öðlen
kanepeler
sazlýklar
granit
beril
yakut
kükreme
çatý katý
açýklama
nakýþ
saten
önlük"
"slate 
sniffing
 glancing 
demise
cautiously";"kayrak
koklama
  bakmak
ölmek
dikkatli bir þekilde"
"serve as the valley's
spectacle
remain
whilst
nomadic
demonstrate
 evidence
 fearlessness";"vadi olarak hizmet etmek
gösteri
kalmak
Ýken
göçebe
göstermek
  kanýt
  korkusuzluk"
"expose
investigate
persistent
sneaky
predator
hibernate
taiga
wander
weep
with chores
migration";"ortaya çýkarmak
araþtýrmak
kalici
sinsi
yýrtýcý hayvan
kýþ uykusuna yatmak
tayga
gezmek
aðlamak
ev iþleri ile
göç"
arrested;tutuklanmýþ
allegedly;iddiaya göre
detention;gözaltý
monitör;monitör
monitoring;izleme
"cloak 
consequently
trifling
alight
feet
merely
selfishness
drop fall
dreadful
chimney-pot
cheek
swallow";"pelerin
sonuç olarak
önemsiz
inmek
ayak
sadece
bencillik
düþmek düþmek
korkunç
baca çömleði
yanak
Kýrlangýç"
"
the cloak of secrecy ";sýr perdesi
"frowns
moth
slender
waist
severe
ridiculous attachment
Reed
coquette
curtseys
graceful";"kaþlarýný çattý
güve
ince
bel
þiddetli
saçma sapan baðlanma
kamýþ
koket
reverans
zarif"
"velvet
carpet
salut
enchantment
accomplish
marvelous place
ignorance
mad
rage
deepest
poverty
cornice
scolde
snatches
amid
rub
astonishment
bind
harm
scimitor
";"kadife
 halý
 selam
 büyü
 sonuçlandýrmak
 harika bir yer
 cehalet
 deli
 öfkelenmek
 en derin
 yoksulluk
 korniþ
 azarlamak
 kapkaç
 ortasýnda
 ovmak
 þaþkýnlýk
 baðlamak
 zarar
 pala"
"gilded
sapphires
sword-hilt
weathercock
fears
unpractical
bright
scarlet
pinafores
cloak
frown
severe
moth
reed
coquette
graceful
curtseys

";"yaldýzlý
safir
kýlýç kabzasý
rüzgar gülü
korkular
kullanýþsýz
parlak
kýzýl
önlük
pelerin
kaþlarýný çatmak
þiddetli
güve
kamýþ
koket
zarif
reverans"
"concerning
counting
concern
counting
Despite
down";"iliþkin
sayma
ilgilendirmek
sayma
Aksine
aþaðý"
make haste;acele etmek
prosperity;refah
reign;saltanat
reigned;hüküm sürdü
reignd;hüküm sürer
ached;aðrýlý
ashes;kül
dome;kubbe
roc;kaya
dagger;hançer
claps;alkýþlar
proclaimed;ilan etti
pious;dindar
vert;dikey
dregs;tortu
veil;duvak
enormous;Kocaman
picke;seçim
refuse;reddetmek
passion;tutku
blow;üflemek
pour;dökün
terrace;teras
niche;niþ
gown;önlük
tuck;sýkýþtýrmak
brass ring;pirinç yüzük
raise;artýrmak
disclose;ifþa etmek
trembles;titriyor
"fright
rushed
examines
pride
crupper
breeching
stall
pony
stable
bridle
groom
blinkers
complain
";"korku
acele
inceler
gurur
kruvasan
makat
ahýr
midilli
kararlý
dizgin
damat
yanýp sönen
þikayet etmek"
"forever
doubt
violence
comfort
receive
smiles
certain powder
sup
arrays
gaily
girdle
made up
mourin";"sonsuza kadar
þüphe
þiddet
konfor
almak
gülümser
belirli toz
destek
diziler
neþeli
kuþak
yapýlan
yas"
"stood
amazed
demand
determine
desty
pity
he at once
out of sheer wearness
weariness
lighter
displeased
plainly
misfortunes
vainly
endure
treats
harshly
sake
innocent
sorrow
exchange
breast
beheaded";"durdu
hayret
talep etmek
belirlemek
kader
acýmak
o hemen
sýrf yorgunluktan
yorgunluk
daha hafif
hoþnutsuz
açýkça
talihsizlikler
boþuna
dayanmak
davranýr
sertçe
uðruna
masum
üzüntü
deðiþ tokuþ
meme
baþý kesilmiþ"
"velvet
carpet
salut
enchantment
accomplish
marvelous place
ignorance
mad
rage
deepest
poverty
cornice
scolde
snatches
amid
rub
astonishment
bind
harm
scimitar
";"kadife
halý
selam
büyü
sonuçlandýrmak
harika bir yer
cehalet
deli
öfkelenmek
en derin
yoksulluk
korniþ
azarlamak
kapkaç
ortasýnda
ovmak
þaþkýnlýk
baðlamak
zarar
pala"
"stood
amazed
demand
determine
desty
pity";"durdu
hayret
talep etmek
belirlemek
kader
acýmak"
"velvet
carpet
salut
enchantment
accomplish
marvelous place
ignorance
mad
rage
deepest
poverty
cornice
scolde
snatches
amid
rub
astonishment
bind
harm
scimitor
";"kadife
halý
selam
büyü
sonuçlandýrmak
harika bir yer
cehalet
deli
öfkelenmek
en derin
yoksulluk
korniþ
azarlamak
kapkaç
ortasýnda
ovmak
þaþkýnlýk
baðlamak
zarar
pala"
determined;belirlenen
"barrow
parlour
grab
mate
explosion
oath
conscience
wounded
buccaneer
drain
spot
palm
perceive
wrist
hold
finger stirring
sneak
dare
lawful
blind
curious
arch
slop
maid
spirit
charge
set off
glance
hip";"el arabasý
salon
yakalamak
Dostum
patlama
yemin
vicdan
yaralý
korsan
boþaltmak
leke
avuç içi
algýlamak
bilek
tutmak
parmak karýþtýrma
gizlice
cesaret etmek
yasal
kör
Meraklý
kemer
eðim
hizmetçi
ruh
þarj etmek
ateþlemek
bakýþ atmak
belki"
"velvet
carpet
salut
boldness
displeased
in this matter
leads
rubies
emeralds
bid
fit it up
enchantment
accomplished";"kadife
halý
selam
cesaret
hoþnutsuz
Bu konuda
yol açar
yakut
zümrüt
teklif etmek
uydur
büyü
baþarýlmýþ"
"wiil come to you
transports
appointed
sorrowfull
idle
consider
her rise
sigh
in the least
confesses
such fearful night
wish
feasting 
rejoicing
mine
basins of gold brimfull of jeweles
bows 
low
crowd
crossed
summons";"sana gelecek
ulaþým
görevlendirilmiþ
kederli
Boþta
düþünmek
onun yükseliþi
iç çekmek
en az miktarda
itiraf eder
çok korkunç bir gece
Dilek
þölen
sevindirici
benim
mücevherlerle dolu altýn havzalar
yaylar
düþük
kalabalýk
çapraz
çaðýrmak"
"throne
rise
violent
vain
threatened
desperate
deed
nepkin
kneels
unfold
bestow
jewels
grant
consent
withhold
patiently
elapses
breathless
bride
bridegroom
chamber
daybreak
out of bed
fear nothing
lay down
soundly
 lay down 
harm
";"taht
çocuk büyütmek
þiddetli
boþuna
tehdit
çaresiz
senet
peçete
diz çöker
açýlmak
ihsan etmek
mücevherler
hibe
onay
alýkoymak
sabýrla
geçer
nefes nefese
gelin
damat
bölme
gün doðumu
yataktan dýþarý
hiçbir þeyden korkma
yatýrmak
selâmetle
  yatýrmak
zarar"
" abroad
 desert
along
as 
despite
down
precious
cotton
spun
as it is very dirty
hideous
intantly
genie
faint
silver
feast
virtues";"yurt dýþýna
  çöl
boyunca
olarak
aksine
aþaðý
deðerli
pamuk
bükülmüþ
çok kirli olduðu için
iðrenç
anýnda
cin
bayýlmak
gümüþ rengi
Bayram
erdemler"
"astonished
dug
suppose
powder
spare
bury
cannon
posture
feasting
distress
liquor
muskets
beckon
limbs
abhorrence
gesture
";"þaþkýn
kazmak
sanmak
pudra
kýyamamak
gömmek
top
duruþ
þölen
sýkýntý
likör
tüfekler
çaðýrmak
uzuvlar
tiksinme
mimik"
"ESSENTIALS
progressive
seem
belief
possession
routine
tutor
REGULAR
hanging up";"TEMELLER
ilerici
gözükmek
inanç
mülk
rutin
özel öðretmen
DÜZENLÝ
kapatýyorum"
"decent
captive
silly
grown
silly
plenty
miracle
ungrateful
affairs
aisle
attic
bewildered
brick
cartman
cuckoo";"düzgün
tutsak
þapþal
büyümüþ
þapþal
bolca
mucize
nankör
iþler
koridor
Çatý katý
þaþkýn
tuðla
arabacý
guguk kuþu"
"pale
amusing
shiver
crockery
yawning
warm
pie
unpack
porter
attic
coal-mine
cover station
chariot
blab
wave
buns
grapes
envelope
stamps
purse
awfully
parted
eager
beggar
fellow
harm
";"solgun
eðlenceli
titreme
çanak çömlek
esneme
ýlýk
turta
paketini açmak
kapýcý
Çatý katý
kömür madeni
kapak istasyonu
savaþ arabasý
gevezelik
dalga
çörekler
üzüm
mektup
pullar
el çantasý
korkunç
ayrýlmýþ
istekli
dilenci
dost
zarar"
"trembles
disclosing
brass ring
blow
tuck
piteously
gown
pour
niche
terrace
make haste
cunning
rolls
refuse
passion
picked
genie
picke
enormous
rub";"titriyor
ifþa
pirinç yüzük
üflemek
sýkýþtýrmak
acýnasý bir þekilde
önlük
dökün
niþ
teras
acele etmek
marifetli
Rulo
reddetmek
tutku
seçilmiþ
cin
seçim
Kocaman
ovmak"
from his girdle;onun kuþaðýndan
beguiled;kandýrýlmýþ
kindle;tutuþmak
gather;toplamak
spite of himself;kendine raðmen
divide;bölmek
fountain;Çeþme
city gate;þehir kapýsý
bursts;patlamalar
laden;yüklü
seek;aramak
supper;akþam yemeði
however;ancak
likeness;benzerlik
spite of;raðmen
spite of his mothers;annelerine raðmen
prayers;dualar
this so grieved the father that he died;bu babayý o kadar üzdü ki öldü
grieved;kederli
my wife said me if I be a teacher I spent all your money;karým öðretmen olursam bütün paraný harcadýðýmý söyledi
if you be a teacher I bray like donkey;öðretmen olursan eþek gibi anýrýrým
idle;Boþta
careless;dikkatsiz
tailor;Terzi
"aboard 
about 
above
across";"gemide
hakkýnda
üstünde
bir yandan bir yan"
definitely;kesinlikle
cricket;kriket
curiosity;merak
satisfy;tatmin etmek
pair;çift
boots;bot ayakkabý
leather;deri
pranks;þakalar
reward;ödül
provide;saðlamak
rags;paçavralar
crawling;emekleme
hut;kulübe
dawned;þafak vakti
dive;dalmak
pantry;kiler
sank;battý
matches;maçlar
candle;mum
belly;karýn
swallows;kýrlangýçlar
chase;kovalamak
shark;köpek balýðý
aimlessly;amaçsýzca
drum;davul
circus;sirk
chorus;Koro
loudly;yüksek sesle
braying;anýrma
splendid;görkemli
charcoal;odun kömürü
inscriptions;yazýtlar
clowns;palyaçolar
mount;binmek
porch;sundurma
skools;okul
cease;dur
granted;imtiyazlý
examination;muayene
swears;yemin eder
woe;vah
consciousness;bilinç
sofa;Divan
faint;bayýlmak
all the food false all painted to look real;tüm yiyecekler sahte, hepsi gerçek görünmek için boyanmýþ
l an dying;ölüyorum
l beg of you;sana yalvarýyorum
snail;salyangoz
peering;bakan
firmly;sýkýca
resolves;çözer
fry;yaðda kýzartmak
strides;adýmlar
mock;alay
admits;itiraf eder
l am a great hurry;çok acelem var
l am a great hurry to get there;oraya gitmek için çok acelem var
gallop;dörtnala
leap;sýçramak
ado;genç
astride;ata binmek
wings;kanatlar
seashore;sahil
do you by any chance know of a puppet;bir kukla tanýyor musun
inscription;kayýt
sobbing;hýçkýrarak
abandoned;terk edilmiþ
here lies the lovely fairy with blue hair who died of greif when abandoned by her little brother;burada küçük kardeþi tarafýndan terk edildiðinde kederden ölen mavi saçlý güzel peri yatýyor
died of grieff;kederden öldü
here lies;burada yatýyor
marble table;mermer masa
there instead;onun yerine orada
plainly;açýkça
valley;Vadi
remain;kalmak
dungeons;Zindanlar
"graceful 
deft 
assassin
realising
without realising
swallowed
extraordinary
recognized
deer
sets out
giant
indeed
sow
barely
gathering
dig
obeys
pail
bumper harvest
bumper";"zarif
usta
suikastçý
farkýna varmak
Farkýnda olmadan
yutulmuþ
olaðanüstü
tanýnan
Geyik
yola koyulur
devasa
aslýnda
ekmek
zar zor
toplama
kazmak
itaat eder
kova
bereketli hasat
tampon"
